Date : 2023-04-07 21:58:56
Directory : g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald
Total : 2340 files,  873017 codes, 16175 comments, 87796 blanks, all 976988 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\NavelRock_Entrance\map.json                            | JSON         |         35 |          0 |          1 |         36 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\NavelRock_Entrance\scripts.inc                         | Poryasm      |          2 |          0 |          2 |          4 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\NavelRock_Exterior\map.json                            | JSON         |         35 |          0 |          1 |         36 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\NavelRock_Exterior\scripts.inc                         | Poryasm      |          6 |          0 |          3 |          9 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\NavelRock_Fork\map.json                                | JSON         |         42 |          0 |          1 |         43 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\NavelRock_Fork\scripts.inc                             | Poryasm      |          2 |          0 |          2 |          4 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\NavelRock_Harbor\map.json                              | JSON         |         55 |          0 |          1 |         56 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\NavelRock_Harbor\scripts.inc                           | Poryasm      |         25 |          0 |          5 |         30 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\NavelRock_Top\map.json                                 | JSON         |         61 |          0 |          1 |         62 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\NavelRock_Top\scripts.inc                              | Poryasm      |        104 |          0 |         14 |        118 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\NavelRock_Up1\map.json                                 | JSON         |         35 |          0 |          1 |         36 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\NavelRock_Up1\scripts.inc                              | Poryasm      |          2 |          0 |          2 |          4 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\NavelRock_Up2\map.json                                 | JSON         |         35 |          0 |          1 |         36 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\NavelRock_Up2\scripts.inc                              | Poryasm      |          2 |          0 |          2 |          4 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\NavelRock_Up3\map.json                                 | JSON         |         35 |          0 |          1 |         36 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\NavelRock_Up3\scripts.inc                              | Poryasm      |          2 |          0 |          2 |          4 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\NavelRock_Up4\map.json                                 | JSON         |         35 |          0 |          1 |         36 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\NavelRock_Up4\scripts.inc                              | Poryasm      |          2 |          0 |          2 |          4 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\NewBirchLab\map.json                                   | JSON         |         90 |          0 |          3 |         93 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\NewBirchLab\scripts.inc                                | Poryasm      |        565 |          0 |        114 |        679 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\NewBirchLab\scripts.pory                               | Poryscript   |        449 |          0 |        104 |        553 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\NewMauville_Entrance\map.json                          | JSON         |         45 |          0 |          1 |         46 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\NewMauville_Entrance\scripts.inc                       | Poryasm      |         49 |          0 |         10 |         59 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\NewMauville_Inside\map.json                            | JSON         |        289 |          0 |          1 |        290 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\NewMauville_Inside\scripts.inc                         | Poryasm      |        239 |          0 |         25 |        264 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\OldaleTown\map.json                                    | JSON         |        196 |          0 |          1 |        197 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\OldaleTown\scripts.inc                                 | Poryasm      |        347 |          0 |         55 |        402 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\OldaleTown_House1\map.json                             | JSON         |         49 |          0 |          1 |         50 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\OldaleTown_House1\scripts.inc                          | Poryasm      |         12 |          0 |          4 |         16 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\OldaleTown_House2\map.json                             | JSON         |         62 |          0 |          1 |         63 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\OldaleTown_House2\scripts.inc                          | Poryasm      |         15 |          0 |          6 |         21 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\OldaleTown_Mart\map.json                               | JSON         |         75 |          0 |          1 |         76 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\OldaleTown_Mart\scripts.inc                            | Poryasm      |         61 |          0 |         12 |         73 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\OldaleTown_PokemonCenter_1F\map.json                   | JSON         |         95 |          0 |          1 |         96 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\OldaleTown_PokemonCenter_1F\scripts.inc                | Poryasm      |         52 |          0 |         13 |         65 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\OldaleTown_PokemonCenter_2F\map.json                   | JSON         |         95 |          0 |          1 |         96 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\OldaleTown_PokemonCenter_2F\scripts.inc                | Poryasm      |         16 |          0 |          5 |         21 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\PacifidlogTown\map.json                                | JSON         |        139 |          0 |          1 |        140 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\PacifidlogTown\scripts.inc                             | Poryasm      |         43 |          0 |         12 |         55 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\PacifidlogTown_House1\map.json                         | JSON         |         62 |          0 |          1 |         63 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\PacifidlogTown_House1\scripts.inc                      | Poryasm      |         20 |          0 |          6 |         26 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\PacifidlogTown_House2\map.json                         | JSON         |         75 |          0 |          1 |         76 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\PacifidlogTown_House2\scripts.inc                      | Poryasm      |        124 |          0 |         24 |        148 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\PacifidlogTown_House3\map.json                         | JSON         |         62 |          0 |          1 |         63 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\PacifidlogTown_House3\scripts.inc                      | Poryasm      |         77 |          0 |         13 |         90 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\PacifidlogTown_House4\map.json                         | JSON         |         75 |          0 |          1 |         76 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\PacifidlogTown_House4\scripts.inc                      | Poryasm      |         42 |          0 |         12 |         54 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\PacifidlogTown_House5\map.json                         | JSON         |         62 |          0 |          1 |         63 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\PacifidlogTown_House5\scripts.inc                      | Poryasm      |         29 |          0 |          8 |         37 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\PacifidlogTown_PokemonCenter_1F\map.json               | JSON         |        108 |          0 |          1 |        109 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\PacifidlogTown_PokemonCenter_1F\scripts.inc            | Poryasm      |         40 |          0 |         11 |         51 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\PacifidlogTown_PokemonCenter_2F\map.json               | JSON         |         95 |          0 |          1 |         96 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\PacifidlogTown_PokemonCenter_2F\scripts.inc            | Poryasm      |         16 |          0 |          5 |         21 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\PetalburgCity\map.json                                 | JSON         |        330 |          0 |          1 |        331 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\PetalburgCity\scripts.inc                              | Poryasm      |        688 |          0 |         80 |        768 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\PetalburgCity_Gym\map.json                             | JSON         |        544 |          0 |          1 |        545 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\PetalburgCity_Gym\scripts.inc                          | Poryasm      |      1,375 |          0 |        221 |      1,596 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\PetalburgCity_House1\map.json                          | JSON         |         62 |          0 |          1 |         63 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\PetalburgCity_House1\scripts.inc                       | Poryasm      |         23 |          0 |          6 |         29 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\PetalburgCity_House2\map.json                          | JSON         |         62 |          0 |          1 |         63 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\PetalburgCity_House2\scripts.inc                       | Poryasm      |         19 |          0 |          6 |         25 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\PetalburgCity_Mart\map.json                            | JSON         |         88 |          0 |          1 |         89 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\PetalburgCity_Mart\scripts.inc                         | Poryasm      |         75 |          0 |         12 |         87 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\PetalburgCity_PokemonCenter_1F\map.json                | JSON         |        108 |          0 |          1 |        109 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\PetalburgCity_PokemonCenter_1F\scripts.inc             | Poryasm      |         79 |          0 |         18 |         97 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\PetalburgCity_PokemonCenter_2F\map.json                | JSON         |         95 |          0 |          1 |         96 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\PetalburgCity_PokemonCenter_2F\scripts.inc             | Poryasm      |         16 |          0 |          5 |         21 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\PetalburgCity_WallysHouse\map.json                     | JSON         |         62 |          0 |          1 |         63 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\PetalburgCity_WallysHouse\scripts.inc                  | Poryasm      |        117 |          0 |         21 |        138 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\PetalburgWoods\map.json                                | JSON         |        301 |          0 |          1 |        302 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\PetalburgWoods\scripts.inc                             | Poryasm      |        410 |          0 |         67 |        477 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\RecordCorner\map.json                                  | JSON         |        100 |          0 |          1 |        101 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\RecordCorner\scripts.inc                               | Poryasm      |          2 |          0 |          2 |          4 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route101\map.json                                      | JSON         |         82 |          0 |          3 |         85 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route101\scripts.inc                                   | Poryasm      |        265 |          0 |         38 |        303 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route102\map.json                                      | JSON         |        168 |          0 |          3 |        171 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route102\scripts.inc                                   | Poryasm      |         89 |          0 |         21 |        110 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route103\map.json                                      | JSON         |        309 |          0 |          1 |        310 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route103\scripts.inc                                   | Poryasm      |        299 |          0 |         57 |        356 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route104\map.json                                      | JSON         |        627 |          0 |          1 |        628 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route104\scripts.inc                                   | Poryasm      |      1,053 |          0 |        120 |      1,173 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route104_MrBrineysHouse\map.json                       | JSON         |         62 |          0 |          1 |         63 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route104_MrBrineysHouse\scripts.inc                    | Poryasm      |        138 |          0 |         24 |        162 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route104_PrettyPetalFlowerShop\map.json                | JSON         |         75 |          0 |          1 |         76 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route104_PrettyPetalFlowerShop\scripts.inc             | Poryasm      |         87 |          0 |         14 |        101 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route104_PrototypePrettyPetalFlowerShop\map.json       | JSON         |         20 |          0 |          1 |         21 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route104_PrototypePrettyPetalFlowerShop\scripts.inc    | Poryasm      |          2 |          0 |          2 |          4 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route104_Prototype\map.json                            | JSON         |         20 |          0 |          1 |         21 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route104_Prototype\scripts.inc                         | Poryasm      |          2 |          0 |          2 |          4 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route105\map.json                                      | JSON         |        166 |          0 |          1 |        167 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route105\scripts.inc                                   | Poryasm      |         82 |          0 |         16 |         98 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route106\map.json                                      | JSON         |        138 |          0 |          1 |        139 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route106\scripts.inc                                   | Poryasm      |         39 |          0 |         10 |         49 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route107\map.json                                      | JSON         |        123 |          0 |          1 |        124 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route107\scripts.inc                                   | Poryasm      |         44 |          0 |         11 |         55 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route108\map.json                                      | JSON         |        140 |          0 |          1 |        141 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route108\scripts.inc                                   | Poryasm      |         40 |          0 |         10 |         50 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route109\map.json                                      | JSON         |        417 |          0 |          1 |        418 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route109\scripts.inc                                   | Poryasm      |        502 |          0 |         63 |        565 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route109_SeashoreHouse\map.json                        | JSON         |         88 |          0 |          1 |         89 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route109_SeashoreHouse\scripts.inc                     | Poryasm      |        145 |          0 |         33 |        178 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route110\map.json                                      | JSON         |        765 |          0 |          1 |        766 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route110\scripts.inc                                   | Poryasm      |        833 |          0 |        162 |        995 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route110_SeasideCyclingRoadNorthEntrance\map.json      | JSON         |         82 |          0 |          1 |         83 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route110_SeasideCyclingRoadNorthEntrance\scripts.inc   | Poryasm      |         41 |          0 |          9 |         50 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route110_SeasideCyclingRoadSouthEntrance\map.json      | JSON         |         82 |          0 |          1 |         83 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route110_SeasideCyclingRoadSouthEntrance\scripts.inc   | Poryasm      |         54 |          0 |         12 |         66 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route110_TrickHouseCorridor\map.json                   | JSON         |         49 |          0 |          1 |         50 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route110_TrickHouseCorridor\scripts.inc                | Poryasm      |          6 |          0 |          3 |          9 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route110_TrickHouseEnd\map.json                        | JSON         |         68 |          0 |          1 |         69 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route110_TrickHouseEnd\scripts.inc                     | Poryasm      |        310 |          0 |         49 |        359 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route110_TrickHouseEntrance\map.json                   | JSON         |        102 |          0 |          1 |        103 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route110_TrickHouseEntrance\scripts.inc                | Poryasm      |        702 |          0 |        125 |        827 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route110_TrickHousePuzzle1\map.json                    | JSON         |        247 |          0 |          1 |        248 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route110_TrickHousePuzzle1\scripts.inc                 | Poryasm      |         59 |          0 |         19 |         78 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route110_TrickHousePuzzle2\map.json                    | JSON         |        154 |          0 |          1 |        155 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route110_TrickHousePuzzle2\scripts.inc                 | Poryasm      |        115 |          0 |         27 |        142 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route110_TrickHousePuzzle3\map.json                    | JSON         |        180 |          0 |          1 |        181 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route110_TrickHousePuzzle3\scripts.inc                 | Poryasm      |        307 |          0 |         39 |        346 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route110_TrickHousePuzzle4\map.json                    | JSON         |        234 |          0 |          1 |        235 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route110_TrickHousePuzzle4\scripts.inc                 | Poryasm      |         54 |          0 |         17 |         71 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route110_TrickHousePuzzle5\map.json                    | JSON         |        316 |          0 |          1 |        317 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route110_TrickHousePuzzle5\scripts.inc                 | Poryasm      |        877 |          0 |        152 |      1,029 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route110_TrickHousePuzzle6\map.json                    | JSON         |        104 |          0 |          1 |        105 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route110_TrickHousePuzzle6\scripts.inc                 | Poryasm      |         67 |          0 |         20 |         87 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route110_TrickHousePuzzle7\map.json                    | JSON         |        276 |          0 |          1 |        277 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route110_TrickHousePuzzle7\scripts.inc                 | Poryasm      |        325 |          0 |         68 |        393 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route110_TrickHousePuzzle8\map.json                    | JSON         |        104 |          0 |          1 |        105 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route110_TrickHousePuzzle8\scripts.inc                 | Poryasm      |         55 |          0 |         17 |         72 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route111\map.json                                      | JSON         |      1,115 |          0 |          1 |      1,116 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route111\scripts.inc                                   | Poryasm      |        617 |          0 |        113 |        730 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route111_OldLadysRestStop\map.json                     | JSON         |         49 |          0 |          1 |         50 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route111_OldLadysRestStop\scripts.inc                  | Poryasm      |         41 |          0 |         10 |         51 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route111_WinstrateFamilysHouse\map.json                | JSON         |         88 |          0 |          1 |         89 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route111_WinstrateFamilysHouse\scripts.inc             | Poryasm      |         92 |          0 |         16 |        108 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route112\map.json                                      | JSON         |        287 |          0 |          1 |        288 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route112\scripts.inc                                   | Poryasm      |        121 |          0 |         25 |        146 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route112_CableCarStation\map.json                      | JSON         |         62 |          0 |          1 |         63 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route112_CableCarStation\scripts.inc                   | Poryasm      |         82 |          0 |         17 |         99 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route113\map.json                                      | JSON         |        465 |          0 |          1 |        466 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route113\scripts.inc                                   | Poryasm      |        134 |          0 |         33 |        167 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route113_GlassWorkshop\map.json                        | JSON         |         62 |          0 |          1 |         63 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route113_GlassWorkshop\scripts.inc                     | Poryasm      |        330 |          0 |         51 |        381 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route114\map.json                                      | JSON         |        509 |          0 |          1 |        510 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route114\scripts.inc                                   | Poryasm      |        167 |          0 |         36 |        203 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route114_FossilManiacsHouse\map.json                   | JSON         |         89 |          0 |          1 |         90 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route114_FossilManiacsHouse\scripts.inc                | Poryasm      |         44 |          0 |         11 |         55 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route114_FossilManiacsTunnel\map.json                  | JSON         |         75 |          0 |          1 |         76 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route114_FossilManiacsTunnel\scripts.inc               | Poryasm      |         79 |          0 |         15 |         94 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route114_LanettesHouse\map.json                        | JSON         |         74 |          0 |          1 |         75 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route114_LanettesHouse\scripts.inc                     | Poryasm      |         89 |          0 |         16 |        105 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route115\map.json                                      | JSON         |        455 |          0 |          1 |        456 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route115\scripts.inc                                   | Poryasm      |        119 |          0 |         27 |        146 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route116\map.json                                      | JSON         |        527 |          0 |          1 |        528 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route116\scripts.inc                                   | Poryasm      |        402 |          0 |         72 |        474 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route116_TunnelersRestHouse\map.json                   | JSON         |         75 |          0 |          1 |         76 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route116_TunnelersRestHouse\scripts.inc                | Poryasm      |         52 |          0 |         11 |         63 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route117\map.json                                      | JSON         |        385 |          0 |          1 |        386 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route117\scripts.inc                                   | Poryasm      |        170 |          0 |         39 |        209 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route117_PokemonDayCare\map.json                       | JSON         |         49 |          0 |          1 |         50 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route117_PokemonDayCare\scripts.inc                    | Poryasm      |          6 |          0 |          3 |          9 |
| g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\Route118\map.json                                      | JSON         |        421 |          0 |          1 |        422 |
