Date : 2023-04-07 21:58:56
Directory : g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald
Total : 2340 files,  873017 codes, 16175 comments, 87796 blanks, all 976988 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| data\maps\AbandonedShip_Deck                                                                                              |          2 |         62 |          0 |          4 |         66 |
| data\maps\AbandonedShip_HiddenFloorCorridors                                                                              |          2 |        226 |          0 |         27 |        253 |
| data\maps\AbandonedShip_HiddenFloorRooms                                                                                  |          2 |        316 |          0 |         21 |        337 |
| data\maps\AbandonedShip_Room_B1F                                                                                          |          2 |         51 |          0 |          3 |         54 |
| data\maps\AbandonedShip_Rooms2_1F                                                                                         |          2 |        226 |          0 |         33 |        259 |
| data\maps\AbandonedShip_Rooms2_B1F                                                                                        |          2 |         86 |          0 |          5 |         91 |
| data\maps\AbandonedShip_Rooms_1F                                                                                          |          2 |        176 |          0 |         19 |        195 |
| data\maps\AbandonedShip_Rooms_B1F                                                                                         |          2 |         83 |          0 |          6 |         89 |
| data\maps\AbandonedShip_Underwater1                                                                                       |          2 |         41 |          0 |          4 |         45 |
| data\maps\AbandonedShip_Underwater2                                                                                       |          2 |         34 |          0 |          4 |         38 |
| data\maps\AlteringCave                                                                                                    |          2 |         34 |          0 |          4 |         38 |
| data\maps\AncientTomb                                                                                                     |          2 |        154 |          0 |         15 |        169 |
| data\maps\AquaHideout_1F                                                                                                  |          2 |        183 |          0 |         20 |        203 |
| data\maps\AquaHideout_B1F                                                                                                 |          2 |        447 |          0 |         29 |        476 |
| data\maps\AquaHideout_B2F                                                                                                 |          2 |        326 |          0 |         27 |        353 |
| data\maps\AquaHideout_UnusedRubyMap1                                                                                      |          2 |         22 |          0 |          3 |         25 |
| data\maps\AquaHideout_UnusedRubyMap2                                                                                      |          2 |         22 |          0 |          3 |         25 |
| data\maps\AquaHideout_UnusedRubyMap3                                                                                      |          2 |         22 |          0 |          3 |         25 |
| data\maps\ArtisanCave_1F                                                                                                  |          2 |         51 |          0 |          3 |         54 |
| data\maps\ArtisanCave_B1F                                                                                                 |          2 |         88 |          0 |          4 |         92 |
| data\maps\BattleColosseum_2P                                                                                              |          2 |         70 |          0 |          3 |         73 |
| data\maps\BattleColosseum_4P                                                                                              |          2 |         88 |          0 |          3 |         91 |
| data\maps\BattleFrontier_BattleArenaBattleRoom                                                                            |          2 |        696 |          0 |         83 |        779 |
| data\maps\BattleFrontier_BattleArenaCorridor                                                                              |          2 |        116 |          0 |         12 |        128 |
| data\maps\BattleFrontier_BattleArenaLobby                                                                                 |          2 |        614 |          0 |         75 |        689 |
| data\maps\BattleFrontier_BattleDomeBattleRoom                                                                             |          2 |      1,271 |          0 |        127 |      1,398 |
| data\maps\BattleFrontier_BattleDomeCorridor                                                                               |          2 |        187 |          0 |         15 |        202 |
| data\maps\BattleFrontier_BattleDomeLobby                                                                                  |          2 |        726 |          0 |        104 |        830 |
| data\maps\BattleFrontier_BattleDomePreBattleRoom                                                                          |          2 |        377 |          0 |         67 |        444 |
| data\maps\BattleFrontier_BattleFactoryBattleRoom                                                                          |          2 |        409 |          0 |         39 |        448 |
| data\maps\BattleFrontier_BattleFactoryLobby                                                                               |          2 |        610 |          0 |         82 |        692 |
| data\maps\BattleFrontier_BattleFactoryPreBattleRoom                                                                       |          2 |        569 |          0 |        114 |        683 |
| data\maps\BattleFrontier_BattlePalaceBattleRoom                                                                           |          2 |        608 |          0 |         76 |        684 |
| data\maps\BattleFrontier_BattlePalaceCorridor                                                                             |          2 |        271 |          0 |         23 |        294 |
| data\maps\BattleFrontier_BattlePalaceLobby                                                                                |          2 |        707 |          0 |         91 |        798 |
| data\maps\BattleFrontier_BattlePikeCorridor                                                                               |          2 |         86 |          0 |         12 |         98 |
| data\maps\BattleFrontier_BattlePikeLobby                                                                                  |          2 |        486 |          0 |         61 |        547 |
| data\maps\BattleFrontier_BattlePikeRoomFinal                                                                              |          2 |         68 |          0 |         10 |         78 |
| data\maps\BattleFrontier_BattlePikeRoomNormal                                                                             |          2 |        853 |          0 |        111 |        964 |
| data\maps\BattleFrontier_BattlePikeRoomWildMons                                                                           |          2 |        118 |          0 |         10 |        128 |
| data\maps\BattleFrontier_BattlePikeThreePathRoom                                                                          |          2 |        437 |          0 |         63 |        500 |
| data\maps\BattleFrontier_BattlePyramidFloor                                                                               |          2 |        817 |          0 |        145 |        962 |
| data\maps\BattleFrontier_BattlePyramidLobby                                                                               |          2 |        866 |          0 |        137 |      1,003 |
| data\maps\BattleFrontier_BattlePyramidTop                                                                                 |          2 |        350 |          0 |         43 |        393 |
| data\maps\BattleFrontier_BattleTowerBattleRoom                                                                            |          2 |        565 |          0 |         79 |        644 |
| data\maps\BattleFrontier_BattleTowerCorridor                                                                              |          2 |         81 |          0 |         11 |         92 |
| data\maps\BattleFrontier_BattleTowerElevator                                                                              |          2 |        107 |          0 |         17 |        124 |
| data\maps\BattleFrontier_BattleTowerLobby                                                                                 |          2 |      1,416 |          0 |        181 |      1,597 |
| data\maps\BattleFrontier_BattleTowerMultiBattleRoom                                                                       |          2 |        537 |          0 |         71 |        608 |
| data\maps\BattleFrontier_BattleTowerMultiCorridor                                                                         |          2 |        225 |          0 |         24 |        249 |
| data\maps\BattleFrontier_BattleTowerMultiPartnerRoom                                                                      |          2 |      1,566 |          0 |        382 |      1,948 |
| data\maps\BattleFrontier_ExchangeServiceCorner                                                                            |          2 |        765 |          0 |        122 |        887 |
| data\maps\BattleFrontier_Lounge1                                                                                          |          2 |        278 |          0 |         50 |        328 |
| data\maps\BattleFrontier_Lounge2                                                                                          |          2 |        415 |          0 |         57 |        472 |
| data\maps\BattleFrontier_Lounge3                                                                                          |          2 |        493 |          0 |         71 |        564 |
| data\maps\BattleFrontier_Lounge4                                                                                          |          2 |         91 |          0 |          9 |        100 |
| data\maps\BattleFrontier_Lounge5                                                                                          |          2 |        256 |          0 |         37 |        293 |
| data\maps\BattleFrontier_Lounge6                                                                                          |          2 |        110 |          0 |         11 |        121 |
| data\maps\BattleFrontier_Lounge7                                                                                          |          2 |        493 |          0 |         69 |        562 |
| data\maps\BattleFrontier_Lounge8                                                                                          |          2 |        106 |          0 |          9 |        115 |
| data\maps\BattleFrontier_Lounge9                                                                                          |          2 |         51 |          0 |          3 |         54 |
| data\maps\BattleFrontier_Mart                                                                                             |          2 |        147 |          0 |         12 |        159 |
| data\maps\BattleFrontier_OutsideEast                                                                                      |          2 |        895 |          0 |         75 |        970 |
| data\maps\BattleFrontier_OutsideWest                                                                                      |          2 |        896 |          0 |         90 |        986 |
| data\maps\BattleFrontier_PokemonCenter_1F                                                                                 |          2 |        157 |          0 |         14 |        171 |
| data\maps\BattleFrontier_PokemonCenter_2F                                                                                 |          2 |        111 |          0 |          6 |        117 |
| data\maps\BattleFrontier_RankingHall                                                                                      |          2 |        281 |          0 |         27 |        308 |
| data\maps\BattleFrontier_ReceptionGate                                                                                    |          2 |        539 |          0 |         74 |        613 |
| data\maps\BattleFrontier_ScottsHouse                                                                                      |          2 |        352 |          0 |         48 |        400 |
| data\maps\BattlePyramidSquare01                                                                                           |          2 |        114 |          0 |          2 |        116 |
| data\maps\BattlePyramidSquare02                                                                                           |          1 |        113 |          0 |          1 |        114 |
| data\maps\BattlePyramidSquare03                                                                                           |          1 |        113 |          0 |          1 |        114 |
| data\maps\BattlePyramidSquare04                                                                                           |          1 |        113 |          0 |          1 |        114 |
| data\maps\BattlePyramidSquare05                                                                                           |          1 |        113 |          0 |          1 |        114 |
| data\maps\BattlePyramidSquare06                                                                                           |          1 |        113 |          0 |          1 |        114 |
| data\maps\BattlePyramidSquare07                                                                                           |          1 |        113 |          0 |          1 |        114 |
| data\maps\BattlePyramidSquare08                                                                                           |          1 |        113 |          0 |          1 |        114 |
| data\maps\BattlePyramidSquare09                                                                                           |          1 |        113 |          0 |          1 |        114 |
| data\maps\BattlePyramidSquare10                                                                                           |          1 |        113 |          0 |          1 |        114 |
| data\maps\BattlePyramidSquare11                                                                                           |          1 |        113 |          0 |          1 |        114 |
| data\maps\BattlePyramidSquare12                                                                                           |          1 |        113 |          0 |          1 |        114 |
| data\maps\BattlePyramidSquare13                                                                                           |          1 |        113 |          0 |          1 |        114 |
| data\maps\BattlePyramidSquare14                                                                                           |          1 |        113 |          0 |          1 |        114 |
| data\maps\BattlePyramidSquare15                                                                                           |          1 |        113 |          0 |          1 |        114 |
| data\maps\BattlePyramidSquare16                                                                                           |          1 |        113 |          0 |          1 |        114 |
| data\maps\BirthIsland_Exterior                                                                                            |          2 |        159 |          0 |         18 |        177 |
| data\maps\BirthIsland_Harbor                                                                                              |          2 |         80 |          0 |          6 |         86 |
| data\maps\CaveOfOrigin_1F                                                                                                 |          2 |         41 |          0 |          3 |         44 |
| data\maps\CaveOfOrigin_B1F                                                                                                |          2 |        148 |          0 |         16 |        164 |
| data\maps\CaveOfOrigin_Entrance                                                                                           |          2 |         41 |          0 |          4 |         45 |
| data\maps\CaveOfOrigin_UnusedRubySapphireMap1                                                                             |          2 |         41 |          0 |          3 |         44 |
| data\maps\CaveOfOrigin_UnusedRubySapphireMap2                                                                             |          2 |         41 |          0 |          4 |         45 |
| data\maps\CaveOfOrigin_UnusedRubySapphireMap3                                                                             |          2 |         41 |          0 |          4 |         45 |
| data\maps\ContestHall                                                                                                     |          2 |        594 |          0 |         74 |        668 |
| data\maps\ContestHallBeauty                                                                                               |          1 |         18 |          0 |          1 |         19 |
| data\maps\ContestHallCool                                                                                                 |          1 |         18 |          0 |          1 |         19 |
| data\maps\ContestHallCute                                                                                                 |          1 |         18 |          0 |          1 |         19 |
| data\maps\ContestHallSmart                                                                                                |          1 |         18 |          0 |          1 |         19 |
| data\maps\ContestHallTough                                                                                                |          1 |         18 |          0 |          1 |         19 |
| data\maps\DesertRuins                                                                                                     |          2 |        154 |          0 |         15 |        169 |
| data\maps\DesertUnderpass                                                                                                 |          2 |         72 |          0 |         10 |         82 |
| data\maps\DewfordTown                                                                                                     |          2 |        913 |          0 |         65 |        978 |
| data\maps\DewfordTown_Gym                                                                                                 |          2 |        556 |          0 |         78 |        634 |
| data\maps\DewfordTown_Hall                                                                                                |          2 |        551 |          0 |         66 |        617 |
| data\maps\DewfordTown_House1                                                                                              |          2 |        104 |          0 |          9 |        113 |
| data\maps\DewfordTown_House2                                                                                              |          2 |        110 |          0 |         11 |        121 |
| data\maps\DewfordTown_PokemonCenter_1F                                                                                    |          2 |        113 |          0 |         10 |        123 |
| data\maps\DewfordTown_PokemonCenter_2F                                                                                    |          2 |        111 |          0 |          6 |        117 |
| data\maps\EverGrandeCity                                                                                                  |          2 |        224 |          0 |         11 |        235 |
| data\maps\EverGrandeCity_ChampionsRoom                                                                                    |          2 |        379 |          0 |         42 |        421 |
| data\maps\EverGrandeCity_DrakesRoom                                                                                       |          2 |        127 |          0 |         16 |        143 |
| data\maps\EverGrandeCity_GlaciasRoom                                                                                      |          2 |        118 |          0 |         16 |        134 |
| data\maps\EverGrandeCity_Hall1                                                                                            |          2 |         58 |          0 |          5 |         63 |
| data\maps\EverGrandeCity_Hall2                                                                                            |          2 |         58 |          0 |          5 |         63 |
| data\maps\EverGrandeCity_Hall3                                                                                            |          2 |         58 |          0 |          5 |         63 |
| data\maps\EverGrandeCity_Hall4                                                                                            |          2 |         44 |          0 |          5 |         49 |
| data\maps\EverGrandeCity_Hall5                                                                                            |          2 |         58 |          0 |          5 |         63 |
| data\maps\EverGrandeCity_HallOfFame                                                                                       |          2 |        129 |          0 |         14 |        143 |
| data\maps\EverGrandeCity_PhoebesRoom                                                                                      |          2 |        119 |          0 |         16 |        135 |
| data\maps\EverGrandeCity_PokemonCenter_1F                                                                                 |          2 |        182 |          0 |         17 |        199 |
| data\maps\EverGrandeCity_PokemonCenter_2F                                                                                 |          2 |        111 |          0 |          7 |        118 |
| data\maps\EverGrandeCity_PokemonLeague_1F                                                                                 |          2 |        233 |          0 |         21 |        254 |
| data\maps\EverGrandeCity_PokemonLeague_2F                                                                                 |          2 |        111 |          0 |          6 |        117 |
| data\maps\EverGrandeCity_SidneysRoom                                                                                      |          2 |        121 |          0 |         17 |        138 |
| data\maps\FallarborTown                                                                                                   |          2 |        262 |          0 |         20 |        282 |
| data\maps\FallarborTown_BattleTentBattleRoom                                                                              |          2 |        272 |          0 |         32 |        304 |
| data\maps\FallarborTown_BattleTentCorridor                                                                                |          2 |         94 |          0 |         12 |        106 |
| data\maps\FallarborTown_BattleTentLobby                                                                                   |          2 |        414 |          0 |         46 |        460 |
| data\maps\FallarborTown_CozmosHouse                                                                                       |          2 |        161 |          0 |         21 |        182 |
| data\maps\FallarborTown_Mart                                                                                              |          2 |        158 |          0 |         11 |        169 |
| data\maps\FallarborTown_MoveRelearnersHouse                                                                               |          2 |        131 |          0 |         19 |        150 |
| data\maps\FallarborTown_PokemonCenter_1F                                                                                  |          2 |        194 |          0 |         17 |        211 |
| data\maps\FallarborTown_PokemonCenter_2F                                                                                  |          2 |        111 |          0 |          6 |        117 |
| data\maps\FarawayIsland_Entrance                                                                                          |          2 |        139 |          0 |         10 |        149 |
| data\maps\FarawayIsland_Interior                                                                                          |          2 |        213 |          0 |         27 |        240 |
| data\maps\FieryPath                                                                                                       |          2 |        151 |          0 |          5 |        156 |
| data\maps\FortreeCity                                                                                                     |          2 |        364 |          0 |         30 |        394 |
| data\maps\FortreeCity_DecorationShop                                                                                      |          2 |        151 |          0 |         11 |        162 |
| data\maps\FortreeCity_Gym                                                                                                 |          2 |        421 |          0 |         55 |        476 |
| data\maps\FortreeCity_House1                                                                                              |          2 |        159 |          0 |         16 |        175 |
| data\maps\FortreeCity_House2                                                                                              |          2 |        131 |          0 |         14 |        145 |
| data\maps\FortreeCity_House3                                                                                              |          2 |         86 |          0 |          7 |         93 |
| data\maps\FortreeCity_House4                                                                                              |          2 |        157 |          0 |         17 |        174 |
| data\maps\FortreeCity_House5                                                                                              |          2 |        103 |          0 |          9 |        112 |
| data\maps\FortreeCity_Mart                                                                                                |          2 |        136 |          0 |         11 |        147 |
| data\maps\FortreeCity_PokemonCenter_1F                                                                                    |          2 |        142 |          0 |         12 |        154 |
| data\maps\FortreeCity_PokemonCenter_2F                                                                                    |          2 |        111 |          0 |          6 |        117 |
| data\maps\GraniteCave_1F                                                                                                  |          2 |        110 |          0 |          7 |        117 |
| data\maps\GraniteCave_B1F                                                                                                 |          2 |         93 |          0 |          4 |         97 |
| data\maps\GraniteCave_B2F                                                                                                 |          2 |        193 |          0 |          3 |        196 |
| data\maps\GraniteCave_StevensRoom                                                                                         |          2 |        147 |          0 |         18 |        165 |
| data\maps\InsideOfTruck                                                                                                   |          2 |        201 |          0 |         10 |        211 |
| data\maps\IslandCave                                                                                                      |          2 |        184 |          0 |         17 |        201 |
| data\maps\JaggedPass                                                                                                      |          2 |        466 |          0 |         50 |        516 |
| data\maps\LavaridgeTown                                                                                                   |          2 |        610 |          0 |         63 |        673 |
| data\maps\LavaridgeTown_Gym_1F                                                                                            |          2 |        640 |          0 |         65 |        705 |
| data\maps\LavaridgeTown_Gym_B1F                                                                                           |          2 |        286 |          0 |          7 |        293 |
| data\maps\LavaridgeTown_HerbShop                                                                                          |          2 |        131 |          0 |         12 |        143 |
| data\maps\LavaridgeTown_House                                                                                             |          2 |         96 |          0 |          7 |        103 |
| data\maps\LavaridgeTown_Mart                                                                                              |          2 |        115 |          0 |          9 |        124 |
| data\maps\LavaridgeTown_PokemonCenter_1F                                                                                  |          2 |        142 |          0 |         12 |        154 |
| data\maps\LavaridgeTown_PokemonCenter_2F                                                                                  |          2 |        111 |          0 |          6 |        117 |
| data\maps\LilycoveCity                                                                                                    |          2 |      1,160 |          0 |        125 |      1,285 |
| data\maps\LilycoveCity_ContestHall                                                                                        |          2 |        980 |          0 |         75 |      1,055 |
| data\maps\LilycoveCity_ContestLobby                                                                                       |          2 |      1,411 |          0 |        149 |      1,560 |
| data\maps\LilycoveCity_CoveLilyMotel_1F                                                                                   |          2 |        181 |          0 |         18 |        199 |
| data\maps\LilycoveCity_CoveLilyMotel_2F                                                                                   |          2 |        235 |          0 |         23 |        258 |
| data\maps\LilycoveCity_DepartmentStoreElevator                                                                            |          2 |        157 |          0 |         18 |        175 |
| data\maps\LilycoveCity_DepartmentStoreRooftop                                                                             |          2 |        285 |          0 |         34 |        319 |
| data\maps\LilycoveCity_DepartmentStore_1F                                                                                 |          2 |        292 |          0 |         32 |        324 |
| data\maps\LilycoveCity_DepartmentStore_2F                                                                                 |          2 |        177 |          0 |         13 |        190 |
| data\maps\LilycoveCity_DepartmentStore_3F                                                                                 |          2 |        173 |          0 |         13 |        186 |
| data\maps\LilycoveCity_DepartmentStore_4F                                                                                 |          2 |        169 |          0 |         13 |        182 |
| data\maps\LilycoveCity_DepartmentStore_5F                                                                                 |          2 |        285 |          0 |         22 |        307 |
| data\maps\LilycoveCity_Harbor                                                                                             |          2 |        615 |          0 |         80 |        695 |
| data\maps\LilycoveCity_House1                                                                                             |          2 |         83 |          0 |          7 |         90 |
| data\maps\LilycoveCity_House2                                                                                             |          2 |         74 |          0 |          6 |         80 |
| data\maps\LilycoveCity_House3                                                                                             |          2 |        261 |          0 |         23 |        284 |
| data\maps\LilycoveCity_House4                                                                                             |          2 |         78 |          0 |          7 |         85 |
| data\maps\LilycoveCity_LilycoveMuseum_1F                                                                                  |          2 |        540 |          0 |         58 |        598 |
| data\maps\LilycoveCity_LilycoveMuseum_2F                                                                                  |          2 |        454 |          0 |         56 |        510 |
| data\maps\LilycoveCity_MoveDeletersHouse                                                                                  |          2 |        139 |          0 |         20 |        159 |
| data\maps\LilycoveCity_PokemonCenter_1F                                                                                   |          2 |        163 |          0 |         15 |        178 |
| data\maps\LilycoveCity_PokemonCenter_2F                                                                                   |          2 |        111 |          0 |          6 |        117 |
| data\maps\LilycoveCity_PokemonTrainerFanClub                                                                              |          2 |        864 |          0 |        111 |        975 |
| data\maps\LilycoveCity_UnusedMart                                                                                         |          2 |         37 |          0 |          3 |         40 |
| data\maps\LittlerootTown                                                                                                  |          3 |      2,094 |          0 |        284 |      2,378 |
| data\maps\LittlerootTown_BrendansHouse_1F                                                                                 |          2 |        546 |          0 |         69 |        615 |
| data\maps\LittlerootTown_BrendansHouse_2F                                                                                 |          2 |        535 |          0 |         41 |        576 |
| data\maps\LittlerootTown_MaysHouse_1F                                                                                     |          2 |        530 |          0 |         52 |        582 |
| data\maps\LittlerootTown_MaysHouse_2F                                                                                     |          2 |        620 |          0 |         51 |        671 |
| data\maps\LittlerootTown_ProfessorBirchsLab                                                                               |          2 |      1,105 |          0 |        135 |      1,240 |
| data\maps\MagmaHideout_1F                                                                                                 |          2 |        171 |          0 |         12 |        183 |
| data\maps\MagmaHideout_2F_1R                                                                                              |          2 |        153 |          0 |         19 |        172 |
| data\maps\MagmaHideout_2F_2R                                                                                              |          2 |        175 |          0 |         19 |        194 |
| data\maps\MagmaHideout_2F_3R                                                                                              |          2 |         37 |          0 |          3 |         40 |
| data\maps\MagmaHideout_3F_1R                                                                                              |          2 |        116 |          0 |         11 |        127 |
| data\maps\MagmaHideout_3F_2R                                                                                              |          2 |         76 |          0 |          7 |         83 |
| data\maps\MagmaHideout_3F_3R                                                                                              |          2 |         51 |          0 |          3 |         54 |
| data\maps\MagmaHideout_4F                                                                                                 |          2 |        346 |          0 |         28 |        374 |
| data\maps\MarineCave_End                                                                                                  |          2 |        116 |          0 |         12 |        128 |
| data\maps\MarineCave_Entrance                                                                                             |          2 |         34 |          0 |          4 |         38 |
| data\maps\MauvilleCity                                                                                                    |          2 |        882 |          0 |         87 |        969 |
| data\maps\MauvilleCity_BikeShop                                                                                           |          2 |        350 |          0 |         51 |        401 |
| data\maps\MauvilleCity_GameCorner                                                                                         |          2 |      1,055 |          0 |        110 |      1,165 |
| data\maps\MauvilleCity_Gym                                                                                                |          2 |        537 |          0 |         67 |        604 |
| data\maps\MauvilleCity_House1                                                                                             |          2 |         89 |          0 |          8 |         97 |
